#,result,kills,deaths,assists,duration,summoner,region,puuid
1,Defeat,5,12,9,42m 52s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
2,Defeat,4,5,19,42m 18s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
3,Victory,13,5,18,41m 06s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
4,Defeat,2,12,8,34m 48s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
5,Victory,3,1,5,16m 40s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
6,Defeat,5,8,13,28m 43s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
7,Victory,4,15,19,43m 12s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
8,Victory,1,9,19,35m 46s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
9,Defeat,6,10,13,35m 50s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
10,Victory,1,2,11,22m 43s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
11,Victory,4,6,26,38m 34s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
12,Victory,4,4,19,29m 13s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
13,Victory,15,10,15,35m 58s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
14,Victory,2,4,20,24m 30s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
15,Victory,9,5,15,33m 20s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
16,Victory,10,4,2,29m 02s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
17,Victory,27,9,21,49m 02s,Afroyobro2-EUW,EUW,9Cra9iXnPOarXbJxLVkYzUhIpv5itXOapOSa4WP4L7_JuAEZNN6McTTi7Wf9L8kg52fPOq1DERIFPA
