#,result,kills,deaths,assists,duration,summoner,region,puuid
1,Victory,3,1,4,37m 07s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
2,Victory,11,6,19,34m 19s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
3,Victory,5,3,2,20m 08s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
4,Defeat,9,6,9,34m 59s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
5,Defeat,2,5,2,23m 52s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
6,Defeat,7,2,4,25m 13s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
7,Defeat,5,3,5,25m 30s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
8,Defeat,11,6,8,28m 29s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
9,Defeat,1,6,0,21m 52s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
10,Defeat,6,6,6,29m 31s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
