#,result,kills,deaths,assists,duration,summoner,region,puuid
1,Victory,7,6,9,25m 00s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
2,Defeat,4,6,7,22m 32s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
3,Defeat,5,5,5,19m 41s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
4,Defeat,3,3,3,26m 59s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
5,Victory,8,5,4,18m 13s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
6,Defeat,2,11,13,30m 25s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
7,Defeat,6,10,9,30m 27s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
8,Defeat,2,4,2,22m 05s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
9,Victory,6,1,11,23m 38s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
10,Defeat,16,10,9,28m 41s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
11,Victory,8,5,2,22m 49s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
12,Defeat,2,7,1,15m 18s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
13,Victory,13,8,11,34m 49s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
14,Defeat,12,9,7,31m 48s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
15,Victory,6,4,5,24m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
16,Victory,2,3,4,15m 31s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
17,Victory,7,3,4,18m 37s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
18,Defeat,4,6,7,32m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
19,Defeat,10,11,4,32m 30s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
20,Defeat,8,12,2,23m 17s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
21,Victory,6,5,7,24m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
22,Defeat,5,9,5,25m 29s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
23,Defeat,3,8,6,29m 18s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
24,Defeat,9,10,12,32m 12s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
25,Defeat,12,11,5,31m 53s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
26,Victory,12,3,7,31m 53s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
27,Victory,7,12,11,29m 20s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
28,Defeat,5,5,1,16m 59s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
29,Defeat,10,3,9,27m 35s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
30,Victory,5,6,14,41m 00s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
31,Victory,11,3,8,21m 40s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
32,Victory,9,6,7,32m 07s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
33,Victory,10,16,12,55m 50s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
34,Defeat,4,7,0,15m 18s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
35,Victory,5,5,9,28m 51s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
36,Defeat,7,8,9,23m 22s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
37,Defeat,3,8,2,21m 54s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
38,Victory,8,10,10,31m 58s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
39,Defeat,6,7,1,23m 22s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
40,Defeat,4,8,9,32m 48s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
41,Victory,12,5,4,26m 51s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
42,Victory,11,11,11,34m 27s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
43,Defeat,7,11,1,27m 35s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
44,Defeat,4,11,6,29m 25s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
45,Defeat,6,6,1,20m 26s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
46,Defeat,3,7,2,22m 49s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
47,Victory,16,1,4,22m 43s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
48,Victory,5,8,9,28m 38s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
49,Defeat,6,10,9,35m 14s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
50,Defeat,3,4,0,18m 29s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
51,Defeat,7,10,4,35m 37s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
52,Victory,9,10,2,35m 44s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
53,Victory,12,6,9,34m 32s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
54,Victory,9,7,12,28m 46s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
